GEO_NAME,employed,unemployed,5 to 14 years,african american,all occupations,average total income of household in 2020 ($),between 7 a.m. and 7:59 a.m.,"black, n.o.s.","caucasian (white), n.o.s.",chinese,filipino,government transfers (%),indigenous identity,major repairs needed,median value of dwellings ($),movers,"no certificate, diploma or degree",not in the labour force,one-maintainer household,"postsecondary certificate, diploma or degree",public transit,renter,"south asian, n.o.s.",spending 30% or more of income on shelter costs,total visible minority population,under 5 years,average number of rooms per dwelling,2000 and before,65 years and over
59150417,72.09302325581395,8.98876404494382,13.9,0.0,96.9,91.99112366350616,15.6,0.0,0.0,22.5,15.7,15.3,4.9,9.8,83.85744234800839,13.6,9.0,28.888888888888886,41.5,67.4,22.2,51.2,0.0,31.7,54.9,0.0,5.6,65.89999999999999,17.1
59150419,61.702127659574465,10.38961038961039,18.2,0.0,98.2,91.68852128303409,18.5,0.0,0.0,26.6,3.2,11.8,3.2,5.0,82.54716981132076,14.9,13.0,26.666666666666668,50.0,63.6,25.9,32.5,0.0,42.5,48.9,0.0,6.0,80.0,15.0
59150420,51.06382978723404,3.260869565217391,8.9,0.0,100.0,90.67984668146056,22.2,0.0,0.0,52.5,5.9,17.0,0.0,5.3,85.16771488469601,13.9,22.8,28.26086956521739,50.0,47.8,28.9,36.8,0.0,21.1,77.5,7.1,5.9,76.4,26.299999999999997
59150421,43.13725490196079,9.70873786407767,5.7,0.0,96.7,92.99979826507969,15.9,0.0,0.0,21.2,14.4,26.4,1.5,4.8,85.16771488469601,10.0,28.2,35.84905660377358,45.2,40.8,36.4,35.7,0.0,23.8,78.0,7.1,5.6,80.9,38.1
59150422,73.33333333333333,4.444444444444445,13.8,0.0,99.1,88.81379866854952,28.8,0.0,3.6,25.3,3.6,10.4,1.2,3.1,88.44339622641509,10.9,11.9,19.672131147540984,40.6,71.1,15.3,34.4,0.0,12.3,45.5,10.3,5.7,34.4,11.0
59150423,48.837209302325576,12.658227848101266,23.4,0.0,95.7,91.18418398224733,19.0,0.0,0.0,34.8,6.7,22.4,0.0,0.0,83.85744234800839,6.7,25.3,45.94594594594595,37.5,43.0,23.8,34.4,0.0,12.9,74.4,4.3,5.6,72.0,28.2
59150424,62.68656716417911,8.02919708029197,12.2,0.0,99.0,89.26770223925762,20.0,0.0,0.0,12.7,3.6,12.7,4.8,10.9,82.54716981132076,10.4,8.0,30.0,42.2,59.9,23.3,46.9,0.0,26.6,35.3,7.3,5.4,85.99999999999999,26.6
59150425,44.230769230769226,6.25,6.7,0.0,98.1,90.5789792213032,12.2,0.0,0.0,19.6,28.0,21.2,4.7,6.3,85.03668763102725,6.5,21.9,39.53488372093023,43.8,46.9,31.7,37.5,0.0,16.1,74.8,4.4,5.8,81.3,28.200000000000003
59150426,55.81395348837209,7.317073170731707,24.4,0.0,98.1,93.30240064555174,13.9,0.0,0.0,34.4,6.7,19.2,3.4,5.3,83.85744234800839,16.9,14.6,38.46153846153847,52.6,52.4,30.6,52.6,0.0,29.7,55.6,4.9,5.4,73.69999999999999,21.1
59150427,62.7906976744186,0.0,6.1,0.0,100.0,91.78938874319144,24.4,0.0,0.0,37.0,4.3,13.4,0.0,0.0,82.54716981132076,12.2,9.8,15.789473684210526,44.4,61.0,19.5,47.2,0.0,37.1,65.2,9.1,5.7,69.4,16.7
59150428,41.30434782608695,4.040404040404041,5.2,0.0,100.0,94.41194270728263,19.2,0.0,0.0,35.8,2.8,27.2,0.0,5.8,85.16771488469601,4.6,20.2,50.0,61.5,49.5,15.4,48.1,0.0,19.6,59.6,0.0,5.0,84.60000000000001,53.8
59150429,45.614035087719294,9.090909090909092,11.4,0.0,95.5,92.0919911236635,17.1,0.0,0.0,54.3,3.9,24.0,0.0,6.5,83.85744234800839,15.1,18.2,32.075471698113205,50.0,48.2,22.0,30.4,0.0,26.7,78.0,4.3,6.7,78.30000000000001,30.3
59150430,60.46511627906976,2.5316455696202533,4.2,0.0,98.1,92.19285858382085,19.4,0.0,2.2,40.0,6.7,15.1,0.0,0.0,81.23689727463312,12.5,11.4,25.71428571428571,34.2,62.0,25.8,47.4,0.0,18.4,67.4,6.3,5.6,68.5,18.5
59150431,66.07142857142857,3.3333333333333335,12.1,0.0,100.0,91.18418398224733,26.9,0.0,0.0,45.3,8.6,19.0,0.0,0.0,82.54716981132076,20.3,15.0,30.76923076923077,48.0,55.0,38.5,48.0,0.0,28.6,77.7,9.1,6.1,68.0,26.0
59150432,61.1764705882353,6.832298136645963,8.1,0.0,99.1,93.60500302602381,24.1,0.0,0.0,28.6,9.3,24.2,1.1,4.3,85.16771488469601,13.8,13.0,22.666666666666664,47.1,54.7,44.6,60.0,0.0,27.1,64.8,5.8,5.0,80.0,21.5
