DGUID,SoVI,Latitude,Longitude,geometry,area
2021S051259153254,13.62588274,49.255,-123.148,-123.148  49.255,249890.7944
2021S051259153255,28.93472529,49.254,-123.153,-123.153  49.254,200337.2012
2021S051259153256,31.26054527,49.258,-123.151,-123.151  49.258,88493.16542
2021S051259153257,30.53698069,49.259,-123.148,-123.148  49.259,89722.07794
2021S051259153258,37.70681734,49.263,-123.148,-123.148  49.263,89793.98763
2021S051259153259,40.52416082,49.265,-123.149,-123.149  49.265,34118.34748
2021S051259153261,42.29197694,49.222,-123.111,-123.111  49.222,720440.824
2021S051259153262,43.51990491,49.22,-123.118,-123.118  49.22,65339.24037
2021S051259153263,44.53233554,49.217,-123.12,-123.12  49.217,200037.9893
2021S051259153264,35.84465818,49.216,-123.122,-123.122  49.216,86145.82258
2021S051259153265,39.92862618,49.214,-123.124,-123.124  49.214,106015.9438
2021S051259153266,36.04071909,49.216,-123.127,-123.127  49.216,236538.8596
2021S051259153267,42.41732923,49.22,-123.124,-123.124  49.22,173062.4625
2021S051259153268,33.92644832,49.215,-123.131,-123.131  49.215,99416.15967
2021S051259153269,32.34072942,49.218,-123.132,-123.132  49.218,123063.8638
2021S051259153270,30.10227641,49.214,-123.135,-123.135  49.214,88382.73152
2021S051259153271,29.87952079,49.218,-123.137,-123.137  49.218,137820.5633
2021S051259153272,38.87932117,49.215,-123.139,-123.139  49.215,92097.79331
2021S051259153273,41.67293265,49.212,-123.137,-123.137  49.212,112731.9761
2021S051259153274,42.58497257,49.21,-123.137,-123.137  49.21,112867.623
2021S051259153275,44.76522893,49.208,-123.138,-123.138  49.208,38944.90529
2021S051259153276,41.87623755,49.211,-123.133,-123.133  49.211,100584.2069
2021S051259153277,37.45590897,49.21,-123.132,-123.132  49.21,50526.60073
2021S051259153278,39.1182411,49.21,-123.129,-123.129  49.21,50752.15503
2021S051259153279,29.39636465,49.212,-123.127,-123.127  49.212,99162.87269
2021S051259153280,42.77734256,49.22,-123.104,-123.104  49.22,88529.05855
2021S051259153281,46.03270846,49.221,-123.102,-123.102  49.221,77649.74307
2021S051259153282,60.38786424,49.224,-123.069,-123.069  49.224,143149.7417
2021S051259153283,56.42548794,49.221,-123.069,-123.069  49.221,101207.6365
2021S051259153284,53.28454667,49.222,-123.064,-123.064  49.222,76579.3986
2021S051259153285,48.40545789,49.222,-123.061,-123.061  49.222,75131.63359
2021S051259153286,49.85882717,49.226,-123.062,-123.062  49.226,61522.62007
2021S051259153287,55.44277273,49.224,-123.062,-123.062  49.224,108013.4306
2021S051259153288,63.66395348,49.227,-123.066,-123.066  49.227,91131.88155
2021S051259153289,54.63548605,49.228,-123.062,-123.062  49.228,82763.54089
2021S051259153290,50.56153993,49.229,-123.063,-123.063  49.229,89081.74283
2021S051259153291,58.29984511,49.232,-123.064,-123.064  49.232,97817.37568
2021S051259153292,61.26019864,49.231,-123.06,-123.06  49.231,100699.6664
2021S051259153293,47.92183785,49.234,-123.06,-123.06  49.234,80983.45614
2021S051259153295,46.26337871,49.227,-123.057,-123.057  49.227,190789.399
2021S051259153296,54.95007441,49.234,-123.064,-123.064  49.234,82154.90814
2021S051259153297,59.60281824,49.234,-123.068,-123.068  49.234,90734.4222
